timestamp,x,y,z
0,-2.07,-0.45,2.92
10,-1.83,-0.58,2.89
20,-1.59,-0.98,2.99
30,-1.26,-1.85,3.27
40,-1.31,-2.46,3.3
50,-0.84,-2.22,3.37
60,0.2,-1.56,3.82
70,1.67,-0.36,4.94
80,3.38,0.7,6.5
90,5.25,1.46,7.87
100,6.87,1.96,8.5
110,8.06,2.21,8.91
120,8.03,1.7,9.31
130,6.79,1.03,9.14
140,6.52,1.14,8.72
150,7.41,1.48,9.02
160,8.77,2.04,10.13
170,10.39,2.32,10.92
180,12.07,2.82,10.48
190,13.41,3.17,10.38
200,14.74,3.62,11.57
210,14.68,3.71,14.49
220,13.68,3.45,17.44
230,12.47,3.21,19.18
240,12.38,3.23,18.96
250,13.53,3.79,16.85
260,14.84,4.24,14.15
270,14.98,4.25,14.21
280,13.37,3.56,17.2
290,11.39,3.35,19.95
300,10.18,3.41,21.55
310,10.01,3.68,21.44
320,11.51,4.36,19.52
330,13.77,4.87,17.44
340,15.13,4.97,16.41
350,14.09,4.21,16.8
360,10.94,2.75,17.84
370,8.51,1.8,18.34
380,7.35,1.83,17.82
390,7.13,2.3,16.24
400,7.25,2.56,14.72
410,7.44,2.27,13.26
420,7.12,1.34,12.1
430,6.69,0.34,12.21
440,6.6,-0.33,13.13
450,6.83,-0.91,13.99
460,6.65,-1.54,14.77
470,5.65,-2.26,15.73
480,4.41,-2.87,16.09
490,2.66,-3.62,16.3
500,1.42,-3.9,16.93
510,1.36,-3.85,17.48
520,0.61,-4.13,17.93
530,-0.19,-4.16,18.04
540,-1.28,-4.49,17.59
550,-2.68,-4.94,17.04
560,-3.31,-5.18,16.78
570,-3.78,-5.29,17.36
580,-4.7,-5.55,18.8
590,-5.09,-5.44,20.21
600,-4.92,-4.91,21.82
610,-4.03,-4.11,23.32
620,-2.33,-3.01,22.91
630,-1.29,-2.47,21.22
640,-0.91,-2.51,19.18
650,-0.94,-2.93,18.0
660,-1.35,-3.55,17.23
670,-1.4,-3.98,16.83
680,-0.7,-3.69,16.34
690,-0.07,-3.41,15.91
700,-0.03,-3.23,15.44
710,-0.19,-3.12,14.64
720,-0.26,-2.94,13.33
730,-0.88,-3.04,12.02
740,-1.29,-2.93,10.55
750,-1.65,-2.68,9.42
760,-1.92,-2.55,9.17
770,-2.19,-2.42,9.7
780,-2.25,-2.34,10.25
790,-2.2,-2.4,10.45
800,-2.48,-2.55,10.2
810,-2.71,-2.64,9.6
820,-2.81,-2.73,8.92
830,-2.89,-2.67,8.35
840,-3.17,-2.86,8.21
850,-4.04,-3.19,8.37
860,-4.74,-3.35,8.72
870,-4.52,-3.06,8.7
880,-3.85,-2.61,8.76
890,-2.27,-1.69,9.0
900,-0.87,-1.03,9.08
910,-0.57,-0.87,9.2
920,-1.44,-1.04,9.6
930,-2.01,-1.05,9.59
940,-2.12,-0.84,9.35
950,-2.08,-0.38,9.11
960,-2.13,0.13,8.71
970,-1.94,0.58,8.13
980,-2.07,0.95,7.54
990,-2.42,1.06,7.26
1000,-2.83,0.97,7.24
