timestamp,x,y,z
0,0.85,7.87,5.95
10,1.03,8.01,6.25
20,1.5,8.17,6.51
30,1.79,8.3,6.62
40,1.59,8.39,6.46
50,1.3,8.45,6.35
60,1.18,8.56,6.31
70,1.1,8.53,6.35
80,1.19,8.49,6.47
90,1.43,8.46,6.44
100,1.45,8.41,6.2
110,1.31,8.34,5.87
120,1.21,8.2,5.61
130,0.97,8.02,5.42
140,0.69,7.83,5.26
150,0.56,7.49,5.03
160,0.6,7.05,4.66
170,0.58,6.55,4.06
180,0.53,6.05,3.43
190,0.77,5.27,2.97
200,1.17,4.54,2.51
210,1.58,3.87,2.05
220,1.71,3.21,1.59
230,1.63,2.69,1.25
240,1.68,2.15,0.9
250,2.0,2.01,0.44
260,2.75,1.79,0.07
270,3.63,1.42,-0.42
280,3.98,1.02,-0.89
290,4.17,0.46,-1.36
300,4.57,-0.31,-1.33
310,4.45,-0.55,-0.24
320,3.59,-0.41,1.62
330,2.82,-0.23,3.11
340,2.13,-0.02,3.88
350,1.07,-0.07,3.69
360,0.19,-0.69,3.09
370,0.13,-1.64,2.31
380,-0.36,-2.09,2.27
390,-1.39,-2.62,3.4
400,-2.41,-2.95,4.56
410,-2.66,-3.13,5.62
420,-2.55,-3.68,6.55
430,-2.84,-4.25,7.48
440,-3.52,-4.61,8.95
450,-4.37,-4.7,10.84
460,-4.57,-4.67,13.26
470,-5.0,-4.55,15.32
480,-5.96,-6.15,17.72
490,-6.42,-2.85,19.48
500,-7.81,-3.21,19.91
510,-9.27,-3.42,20.92
520,-8.98,-3.04,21.31
530,-8.9,-2.8,21.4
540,-9.56,-2.65,20.88
550,-9.83,-2.81,19.74
560,-10.25,-2.86,18.59
570,-10.41,-2.87,17.68
580,-10.12,-3.0,17.11
590,-9.82,-3.02,16.69
600,-9.68,-2.91,16.33
610,-9.45,-2.78,15.95
620,-9.24,-2.71,15.34
630,-9.08,-2.73,14.44
640,-8.57,-2.78,13.51
650,-8.1,-2.84,12.87
660,-7.95,-2.58,12.52
670,-8.0,-2.48,12.22
680,-7.41,-2.62,11.98
690,-6.07,-2.88,11.97
700,-5.49,-2.89,11.84
710,-6.17,-2.55,11.85
720,-6.76,-2.35,11.87
730,-6.64,-2.44,11.84
740,-6.35,-2.58,11.9
750,-6.58,-2.57,12.07
760,-6.94,-2.55,12.25
770,-6.9,-2.57,12.4
780,-6.66,-2.74,12.33
790,-6.02,-3.01,12.18
800,-5.76,-3.2,12.12
810,-5.79,-3.12,12.31
820,-5.81,-2.89,12.95
830,-5.44,-2.89,13.54
840,-5.01,-2.96,13.96
850,-4.64,-3.15,14.22
860,-4.34,-3.25,14.37
870,-4.3,-3.19,14.31
880,-4.27,-3.04,14.35
890,-3.96,-3.0,14.51
900,-3.39,-2.67,15.51
910,-2.47,-2.55,17.1
920,-1.21,-2.64,18.47
930,-0.85,-2.73,19.29
940,-1.31,-2.74,19.15
950,-1.91,-3.0,18.45
960,-2.92,-3.29,17.82
970,-4.33,-3.48,16.94
980,-5.45,-3.53,16.67
990,-6.17,-3.55,16.82
1000,-6.78,-3.59,16.43
