timestamp,x,y,z
0,4.33,7.67,3.89
10,4.58,7.75,3.81
20,4.38,8.18,4.18
30,4.35,8.43,4.6
40,4.43,8.46,4.61
50,4.41,8.34,4.36
60,4.29,8.19,4.09
70,4.3,7.84,3.76
80,4.62,7.55,3.41
90,5.24,7.19,3.04
100,5.9,6.98,2.79
110,6.62,6.76,2.85
120,7.33,6.61,3.03
130,7.97,6.28,3.27
140,8.67,5.91,3.7
150,9.55,5.38,4.27
160,10.83,4.7,4.84
170,12.11,4.1,5.16
180,13.62,3.82,5.06
190,14.78,3.62,4.72
200,15.04,3.38,4.22
210,14.42,3.21,3.95
220,13.69,3.06,4.51
230,13.19,2.98,5.95
240,12.72,2.91,7.46
250,12.32,2.98,8.94
260,12.18,2.97,10.03
270,11.93,2.99,10.9
280,11.32,3.11,12.08
290,10.53,3.15,13.21
300,9.33,3.06,13.67
310,7.86,2.77,13.15
320,6.28,2.61,12.17
330,4.52,2.66,11.27
340,2.55,2.71,10.49
350,0.43,2.52,9.87
360,-2.06,2.5,9.32
370,-4.69,2.78,8.65
380,-7.1,3.12,7.88
390,-9.44,3.43,7.07
400,-11.92,3.84,6.41
410,-14.36,4.22,6.02
420,-17.04,4.37,5.76
430,-19.71,4.52,5.26
440,-21.8,4.76,4.48
450,-23.46,4.87,3.63
460,-24.49,5.17,3.13
470,-23.83,5.56,3.36
480,-21.55,5.44,3.79
490,-20.04,5.01,3.75
500,-19.51,4.52,3.28
510,-19.81,3.75,2.69
520,-19.89,2.7,2.72
530,-19.6,1.66,3.16
540,-19.5,1.5,3.65
550,-19.3,2.16,3.96
560,-18.37,2.47,3.22
570,-16.29,2.16,1.84
580,-14.03,1.7,0.9
590,-12.13,1.07,0.85
600,-10.26,-0.25,1.67
610,-8.87,-0.64,4.0
620,-6.6,-0.85,6.99
630,-3.93,-0.23,9.53
640,-1.13,0.66,11.11
650,0.88,0.93,11.37
660,3.03,0.58,11.23
670,6.58,-0.18,11.98
680,10.79,-0.72,14.59
690,15.17,-1.38,17.54
700,18.38,-0.76,20.47
710,19.35,0.22,21.91
720,18.38,0.11,20.77
730,17.33,1.26,17.76
740,16.35,-0.23,12.94
750,16.83,-0.33,9.72
760,18.03,-0.49,9.35
770,19.47,-0.5,10.56
780,20.59,-0.23,12.28
790,20.94,-0.37,13.12
800,20.49,-0.64,12.88
810,19.86,-1.09,12.22
820,19.13,-1.65,11.34
830,18.61,-2.43,10.37
840,18.1,-2.98,9.83
850,17.35,-3.29,9.73
860,16.57,-3.5,9.74
870,15.47,-3.79,9.65
880,14.33,-4.0,9.67
890,13.86,-4.3,9.78
900,14.17,-4.93,9.78
910,14.46,-5.48,10.05
920,14.0,-5.83,10.65
930,12.96,-6.06,11.31
940,11.65,-6.15,11.79
950,10.75,-6.56,12.41
960,9.63,-6.43,12.92
970,7.51,-5.63,13.08
980,5.2,-4.92,13.05
990,2.74,-4.35,12.79
1000,0.67,-3.96,12.87
